key,size,idf,processed,tlsh,is_cdnjs_framework
sha512-eVhWCwV_nAaudrsAn3IQhRNw_wL6PmXSdTcvyf5JdmtiE5_dOYp66hUl4Kls7yB_yFN9Vg8aEF1qC4Vo8Al7Pg__,1480677,6.161369499799572,true,T1F3654BC97291F062479771A8002F100BF276696D680D946CF768D4E77CBA989A23FF3D,false
sha512-f0VnxeXPfz2XNT21KWON3q5rneSKyg35rHrUeDa9JKG9E0lZ1XQ3CswZtNCUrHZTmkXzNYWNDi1VHa8_zKXj_w__,1480263,6.161369499799572,true,T1A7654BC97291F062479771A8003F100BF276696D680D946CF768D4E67CBA989A23FF3D,false
sha512-Fb8i_ZYxLG1_j9VBOrLFqhr4r_yeFCOu6kIcdUzf6o__gDb2A62UPCvZDmPdwc_esIou5NEPC7_fGmdAI6MytA__,252356,6.161369499799572,true,T18B342F49BAE275349243F039996FD808B276A48B2589DD403E4CA2E45F1583CD7FAFDC,false
sha512-fLMtH6Ya5wByUu74XgX2DvC6fmjKyiuJk_LkuoNX1dL3F0FC4h_2Ymnyu5KWsOdtncqaEtI48POn_vOtzhh08g__,592580,6.161369499799572,true,T12CC44A4ABBF675349243F039596FD809B235A49B2949ED003E4CA2E45F1583C86FAFDC,false
sha512-fudlYDpSne3_MUPBYfDqdC3Wz_u8YgTorlUYYGEmBRaQSBPzcvYymb2NeCQgY3i14sy75oiSK_N6aGIrEZEZvQ__,372400,6.161369499799572,true,T1C1842D49BAF275349203F039996FD808B279A48F2989ED053D4CA1E45F5583C87B9FEC,false
sha512-fwrDntLbK93K23L1RGZH3idfY6rX7pfMaRFM858MRNbm72PR1VHz0d80v2bLNiaD0aCXyQYH6ap_X9fNpyMaLQ__,1702,4.746396151828754,false,T1273101E5BE567D35A173B5369F9F3B0629B796E30C818C051C11C8F04B7048BC455AEA,false
sha512-FZSc4Ph0LYGGfLKLNZZPHpwGXDoEh1s3A9zL3xfaRNcAkYPqu3mij3VsUOSznxn68uIeBjLyu2jwgf3yDrjj5Q__,1476770,6.161369499799572,true,T1B1654CC97291F062479771A8002F100BF276696D680D946CF764D4E7BCBA989A23FF3D,false
sha512-g1neDVV_3CKQiOhm9Y2p2h7C9Q7tA7SHGWChHmDohGX_GPerjyx7nsALMYm3UFm48kjHvBA6AczKU_WdzMGQmw__,372413,6.161369499799572,true,T1B2842D49BAF275349203F039996FD808B279A48F2989ED053D4CA1E45F5583C87B9FEC,false
sha512-g7sK1L5sSwp0IGKZEzT42Hfpy83Spk3HpTHwHvfT6i56Ojn6_Ttr_sPOGy8QWK0H2DdbjPgbdf9rBaAiMDaWLg__,592566,6.161369499799572,true,T17EC44A4ABBF675349243F039596FD809B235A49B2949ED003E4CA2E45F1583C86FAFDC,false
sha512-GJVsKl4VUjmazO_t7Rogtp3LNniKM_N0Xukgimo8ZuY0q_U_p_A6yUxQzqlFFn64FjS2cJMxkz3F4thBTVLAXg__,254109,6.161369499799572,true,T130442E49BAE275349243F039596FD808B276A48B2589DD403E4CA2E45F2583CD7FAFDC,false
sha512-GjyLXalV9_QTGNC2rDK_IHVay0n_DwoJBBOxjxBDqt_bdu0HBcX5KB1oaq3xYJHkBCqfsDuZSleVXWzsdmROIQ__,252370,6.161369499799572,true,T140342F49BAE275349243F039996FD808B276A48B2589DD403E4CA2E45F1583CD7FAFDC,false
sha512-h3OMthnO_BH0PSL1Br2zEt4rOxnyaeGG6_bqfFiI1xykqnew_Bb7rLrC0PSmigdeZ2x5KhFpfMSA9LKPcOpdMQ__,592567,6.161369499799572,true,T10CC44A4ABBF675349243F039596FD809B235A49B2949ED003E4CA2E45F1583C86FAFDC,false
